symbol,log2fold_change,p_value,-log10(p_value),regulation
SKAP1,0.277060818,0.216462402,0.6646175266636433,Not significant
MIR1203,0.466025612,0.140482988,0.8523762641222592,Not significant
THRA1/BTR,0.010849027,0.967831487,0.014200252853653275,Not significant
LOC101927166,1.002545851,0.001753171,2.7561757218214895,Upregulated
HOXB1,0.280007127,0.379002193,0.42135827708986073,Not significant
HOXB2,0.16483823,0.52021412,0.2838178640685177,Not significant
HOXB-AS1,-0.07432058,0.771756093,0.112519933085475,Not significant
HOXB3,-0.082783026,0.766300254,0.11560103049084063,Not significant
HOXB4,-0.025603392,0.929134023,0.03192163665089883,Not significant
MIR10A,-0.132953414,0.677796453,0.16890070821412884,Not significant
HOXB-AS3,-0.586938481,0.047279038,1.3253313687499402,Not significant
HOXB5,0.336104291,0.269748363,0.5690411822047332,Not significant
HOXB6,-0.23322027,0.432686282,0.3638268735698064,Not significant
HOXB7,-0.10002656,0.70481564,0.15192446740767931,Not significant
HOXB8,0.582452727,0.068744661,1.1627610253271758,Not significant
HOXB9,0.423525023,0.163148191,0.7874177373408526,Not significant
MIR196A1,-0.004274204,0.982783667,0.007542069724226823,Not significant
PRAC1,0.447805953,0.085070318,1.070221943762782,Not significant
PRAC2,0.448163367,0.089226269,1.0495072666754297,Not significant
HOXB13,0.64310822,0.037061706,1.4310745933999218,Not significant
TTLL6,1.04873844,0.001034531,2.9852564910521626,Upregulated
CALCOCO2,0.353484422,0.002670429,2.5734189643408363,Not significant
ATP5G1,0.51204147,0.002355821,2.627857711196293,Not significant
UBE2Z,0.280202994,0.054816905,1.261085488668216,Not significant
SNF8,0.338300862,0.030445949,1.5164704844427654,Not significant
GIP,0.58802518,0.046206591,1.3352960713969306,Not significant
IGF2BP1,0.905264141,0.00304586,2.5162900624657607,Not significant
B4GALNT2,0.874451409,0.005574152,2.2538211928058507,Not significant
GNGT2,0.130966033,0.659380246,0.18086406778082717,Not significant
ABI3,0.368141588,0.034629458,1.4605543057202839,Not significant
PHOSPHO1,-0.053173923,0.83064891,0.08058250048627229,Not significant
FLJ40194,0.3273692,0.283453234,0.547518583653282,Not significant
MIR6129,-0.969320865,0.00248952,2.6038843803928406,Not significant
ZNF652,-0.098170374,0.683938932,0.16498267412698933,Not significant
LOC102724596,-0.32037608,0.224269222,0.6492303235312765,Not significant
PHB,0.278635851,0.068569221,1.1638707844317109,Not significant
LOC101927207,0.716074625,0.012356923,1.9080896595454377,Not significant
NGFR,0.07958885,0.753851203,0.12271436778168568,Not significant
LOC100288866,0.00224656,0.9944085,0.0024351720903466475,Not significant
MIR6165,0.079263569,0.645845914,0.18987108367928074,Not significant
NXPH3,0.152700334,0.537495254,0.26962536614856353,Not significant
SPOP,0.168179332,0.28488143,0.5453358593297645,Not significant
SLC35B1,-0.00532559,0.974114418,0.011390028555064954,Not significant
FAM117A,0.321971718,0.142179631,0.8471626172344643,Not significant
KAT7,0.159135088,0.180733317,0.7429617807234999,Not significant
TAC4,-0.082594656,0.720212361,0.14253942910744055,Not significant
FLJ45513,-0.09739527,0.669390715,0.17432031595826983,Not significant
DLX4,0.377648011,0.215463219,0.6666268561235598,Not significant
DLX3,0.214576856,0.465640287,0.3319494517583417,Not significant
LOC284080,0.434527934,0.16313136,0.7874625431548179,Not significant
ITGA3,0.114943621,0.577129854,0.23872645975455575,Not significant
PDK2,0.278493028,0.129711426,0.8870217661658282,Not significant
SAMD14,0.169815238,0.470065829,0.32784131829936314,Not significant
PPP1R9B,0.37137074,0.023300681,1.632631385831484,Not significant
SGCA,0.214089236,0.483872463,0.3152690927238571,Not significant
HILS1,-0.263403452,0.408266036,0.389056747902902,Not significant
COL1A1,0.054165306,0.814229662,0.08925308052665612,Not significant
LOC101927230,0.972372908,0.001741561,2.7590613093197636,Not significant
TMEM92,-0.402472991,0.151105231,0.8207205008819435,Not significant
TMEM92-AS1,0.263075158,0.363635339,0.43933391756526313,Not significant
XYLT2,0.127456762,0.481510802,0.31739396566016853,Not significant
MRPL27,0.440750549,0.021067274,1.6763916562926535,Not significant
EME1,0.200460074,0.435322811,0.361188575130987,Not significant
LRRC59,0.043577599,0.817204232,0.08766939298245782,Not significant
ACSF2,0.011067094,0.961022811,0.017266303721826855,Not significant
CHAD,0.242287453,0.337733603,0.4714257268343779,Not significant
RSAD1,0.170583203,0.294302652,0.5312058243979197,Not significant
MYCBPAP,0.064240407,0.798539748,0.0977034616076075,Not significant
EPN3,0.411727802,0.083208593,1.0798318215484708,Not significant
SPATA20,-0.116421604,0.53128698,0.2746708270103458,Not significant
CACNA1G-AS1,-0.482228917,0.077416714,1.1111652665220237,Not significant
CACNA1G,-0.036653538,0.898046906,0.04670097905100483,Not significant
ABCC3,0.121453688,0.631708355,0.19948337907143754,Not significant
ANKRD40,-0.000335488,0.997705347,0.0009977002620123413,Not significant
LUC7L3,-0.226326968,0.116524398,0.9335831320851726,Not significant
LINC00483,0.448386372,0.153583699,0.8136548768177437,Not significant
MIR8059,0.033373827,0.818168081,0.08715746753621093,Not significant
WFIKKN2,0.63475123,0.046856101,1.3292338528418133,Not significant
TOB1,0.291650106,0.042279175,1.3738734957364955,Not significant
TOB1-AS1,0.111401878,0.68198994,0.16622203155277512,Not significant
SPAG9,-0.19876325,0.048112163,1.317745117887542,Not significant
NME1,0.299774192,0.216488078,0.6645660152523132,Not significant
NME2,0.199390752,0.524410425,0.280328683353099,Not significant
MBTD1,-0.130618465,0.386354159,0.4130144083289346,Not significant
UTP18,0.05627137,0.70452918,0.152101014690124,Not significant
LOC101927274,1.020686379,0.001363554,2.8653276582814704,Upregulated
LOC440446,0.83017748,0.008291099,2.081387899123862,Not significant
CA10,1.053713332,0.000784384,3.1054712737275842,Upregulated
C17orf112,0.722967914,0.010069577,1.9969887727854425,Not significant
KIF2B,0.934603091,0.001829522,2.7376623637553155,Not significant
TOM1L1,0.166668375,0.279883424,0.5530228217142699,Not significant
