Genes,Sensitive,Resistant
EBI3,0.701233333,1.822333333
YJU2,53.25333333,38.94
SHD,1.15,1.2337
FSD1,0.375533333,0.466566667
STAP2,25.25,38.21
MPND,19.85,21.66666667
SH3GL1,136.2666667,142.1
CHAF1A,49.12,26.53
UBXN6,46.15666667,70.32666667
MIR4746,10.87,6.79
HDGFL2,59.86666667,55.18
PLIN4,2.996333333,3.48
PLIN5,0.5438,2.423
LRG1,22.93,20.71
SEMA6B,9.216,11.68666667
LOC105372249,0.103106667,0.086843333
TNFAIP8L1,8.138,4.043666667
MYDGF,134.3333333,148.2
DPP9,90.42333333,74.14666667
DPP9-AS1,19.75,16.34666667
LOC105372250,0.8818,0.4199
TRV-CAC3-1,0.977433333,0.244133333
FEM1A,12.67333333,13.61333333
TICAM1,22.63,23.97333333
PLIN3,259.5333333,273.0666667
ARRDC5,6.765333333,7.035333333
UHRF1,110.3333333,30.84666667
KDM4B,11.81333333,22.33666667
PTPRS,80.52666667,136.9
LOC105372253,0.16095,0.36965
LOC105372252,0.075036667,0.055303333
TINCR,3.778666667,4.476666667
SAFB2,33.82,27.16
SAFB,104.0533333,79.10666667
LOC107985320,0.718233333,0.6192
MICOS13,87.92333333,95.45333333
HSD11B1L,3.526666667,8.445
RPL36,962.3,1123.333333
LONP1,114.9666667,143.5666667
CATSPERD,0.271033333,0.3047
PRR22,16.09333333,4.479333333
DUS3L,58.89666667,32.30333333
NRTN,5.476,2.750666667
FUT6,0.12289,0.043543333
FUT3,2.262033333,0.693533333
LOC101928844,0.224033333,0.306066667
FUT5,0.8549,0.8038
NDUFA11,77.62666667,93.69
VMAC,3.911,7.278666667
CAPS,23.28066667,11.33666667
RANBP3,54.06333333,51.86
RANBP3-DT,1.572,1.734666667
RFX2,8.574,7.479333333
LOC105372255,0.1327,0.2809
ACSBG2,1.238633333,1.718666667
MLLT1,76.61,107.7666667
ACER1,0.03135,0.080206667
CLPP,70,53.52666667
ALKBH7,39.44,62.46666667
PSPN,1.003633333,1.449
GTF2F1,135,129.0333333
MIR6885,1.0944,0.243533333
LOC390877,1.759,1.565666667
KHSRP,254.0666667,189.5
MIR3940,595.3666667,400.3666667
SLC25A41,1.413666667,2.515
SLC25A23,71.89,94.55333333
CRB3,7.800333333,1.635666667
DENND1C,6.272333333,4.308333333
TUBB4A,1.710333333,3.017666667
TNFSF9,34.75,89.23333333
CD70,21.01333333,64.63333333
TNFSF14,0.137333333,0.5676
C3,83.39666667,805.9333333
GPR108,45.8,65.05333333
MIR6791,3.489666667,5.619666667
TRIP10,100.22,100.9366667
SH2D3A,50.29666667,29.46
VAV1,17.58,19.92
ADGRE1,0.07278,0.290333333
ADGRE4P,0.06575,0.230966667
ZNF557,4.798,5.462333333
INSR,9.376333333,20.97666667
ARHGEF18,29.13,31.35333333
LOC107985284,0.521733333,0.987466667
PEX11G,2.760666667,4.163666667
SAXO5,0.656833333,1.456033333
LOC105372261,2.055666667,2.431
ZNF358,42.72,90.82333333
MCOLN1,20.04666667,26.15333333
PNPLA6,66.56666667,84.47666667
CAMSAP3,13.063,13.36
XAB2,62.08666667,42.78
PET100,49.46,56.85666667
PCP2,0.903566667,1.100133333
STXBP2,105.6,123.2666667
MCEMP1,0.136,0.15695
TRAPPC5,18.01666667,21.93333333
EVI5L,21.49,27.60333333
PRR36,0.373433333,1.3284
LYPLA2P2,0.321033333,0.329933333
LRRC8E,15.50333333,17.99333333
MAP2K7,30.10666667,33.46666667
TGFBR3L,2.683,2.451333333
SNAPC2,32.96,31.1
CTXN1,34.52666667,37.38333333
TIMM44,104.3433333,88.08666667
ELAVL1,53.17333333,43.07333333
LOC105372266,2.067666667,2.070666667
CCL25,0.104643333,0.04248
FBN3,0.126766667,0.213233333
CERS4,12.38666667,39.52
LOC107985282,0.4925,0.611833333
CD320,259.8,254.1333333
NDUFA7,123.0666667,108.2166667
RPS28,390.9333333,635.2333333
KANK3,0.903266667,0.9192
ANGPTL4,22.55,2.210266667
RAB11B-AS1,17.04,26.21333333
MIR4999,3.92,0.932
RAB11B,108.87,158.9333333
MARCHF2,11.74633333,22.15333333
HNRNPM,321.2666667,202.9666667
PRAM1,0.23808,0.315466667
ZNF414,13.59666667,18.8
MYO1F,1.731,3.986333333
ADAMTS10,0.471866667,3.717
ZNF558,12.27333333,20.23
MUC16,2.951666667,3.787666667
ZNF317,46.27666667,58.94666667
OR7D2,0.0167,0.07618
ZNF699,4.653666667,4.674666667
ZNF559,11.65666667,13.54
ZNF559-ZNF177,6.179,7.762333333
ZNF177,5.268,7.04
LOC112268250,1.680666667,2.501
ZNF266,45.94,76.93333333
LOC105372269,1.547333333,2.015333333
ZNF560,7.954,9.754333333
LOC105372268,0.024793333,0.136416667
ZNF426,14.22333333,20.64666667
ZNF426-DT,1.525,1.527333333
ZNF121,31.11,44.94333333
ZNF561,21.05,28.77
ZNF561-AS1,8.561666667,11.00633333
ZNF562,14.91,15.67666667
ZNF812P,0.101213333,0.141233333
ZNF846,4.307333333,7.103
LOC100505555,1.594666667,0.843866667
FBXL12,24.15333333,32.52
UBL5,452.8333333,522.5666667
PIN1-DT,0.215666667,0.3498
PIN1,125.6333333,125.7666667
OLFM2,0.406233333,1.698333333
COL5A3,0.3961,0.2409
SHFL,22.95666667,36.09666667
ANGPTL6,4.563666667,5.970666667
PPAN,51.79666667,41.05333333
PPAN-P2RY11,47.25,40.97
SNORD105,1.709666667,1.588666667
P2RY11,21.45333333,23.45
EIF3G,497.3666667,569.8666667
DNMT1,194.2666667,109.3166667
S1PR2,2.196666667,6.275333333
MRPL4,152.7,122.4
LIMASI,0.1576,0.12173
ICAM1,44.99333333,202.8666667
ICAM4,0.1253,0.203593333
ICAM5,4.589666667,4.155333333
ZGLP1,3.299666667,2.937333333
FDX2,60.58333333,53.10333333
RAVER1,156.4333333,132.5666667
ICAM3,18.27333333,15.64666667
TYK2,66.61,80.52
CDC37,413.4666667,437.1
MIR1181,486.1,511.7
PDE4A,15.48666667,20.72333333
KEAP1,115.1333333,121.4666667
S1PR5,0.866466667,0.440133333
ATG4D,31.59,33.1
MIR1238,1.746966667,1.648333333
KRI1,70.48,71.51
CDKN2D,8.934,7.636
AP1M2,37.44,0.910033333
SLC44A2,116.0333333,430.6333333
ILF3-DT,33.95666667,39.33666667
ILF3,188.7666667,145.7666667
QTRT1,143.1,186.1333333
DNM2,166.1333333,215.9666667
MIR199A1,1.505166667,0.926266667
MIR6793,0.849833333,1.350566667
TMED1,70.50666667,82.95666667
C19orf38,0.902666667,1.899333333
CARM1,130.5,132.0666667
YIPF2,68.07333333,100.67
TIMM29,48.70333333,51.12666667
SMARCA4,169.7,199.4
LDLR-AS1,18.71333333,12.69
LDLR,102.8733333,73.01
MIR6886,1.7716,2.205333333
SPC24,35.9,23.88333333
KANK2,53.77333333,127.8
DOCK6,21.77333333,42.21
DOCK6-AS1,2.839666667,7.628666667
ANGPTL8,0.328933333,0.5163
RAB3D,17.87666667,31.43333333
TMEM205,86.02,120.7
CCDC159,9.949,18.11666667
PLPPR2,95.96333333,154.9666667
SWSAP1,11.90533333,15.29333333
EPOR,16.61,18.04666667
RGL3,8.902333333,9.913
ODAD3,17.04333333,18.05
PRKCSH,437.4333333,411.5333333
ELAVL3,0.029513333,0.020836667
ZNF653,7.346333333,10.32366667
MIR7974,3.685966667,3.729666667
ECSIT,180.1666667,184.6333333
CNN1,1.335266667,56.65333333
ELOF1,158.3666667,155.6666667
ACP5,28.12666667,7.047666667
ZNF627,15.62333333,39.55666667
HNRNPA1P10,76.08666667,61.54
ZNF833P,4.482333333,3.474333333
ZNF823,11.17,13.37666667
ZNF441,5.025666667,10.76
ZNF491,1.325,3.817666667
ZNF440,14.44666667,17.23
ZNF439,7.357666667,9.434
ZNF69,8.946666667,9.651
ZNF700,17.81,20.99
ZNF763,2.203,7.244
ZNF433-AS1,11.12133333,13.61
ZNF433,5.567,12.64333333
ZNF878,5.831666667,2.221
ZNF844,9.771,17.08
ZNF788P,19.54666667,24.81
ZNF625-ZNF20,5.458333333,7.201666667
ZNF20,4.368,6.032
ZNF625,6.914,11.13666667
ZNF136,11.90333333,13.47
LOC100289333,6.008,6.675
ZNF44,3.800333333,7.792333333
ZNF563,3.170333333,5.805
ZNF442,1.259333333,2.878666667
ZNF799,6.246666667,5.308
ZNF443,8.198,6.536
ZNF709,2.348666667,3.997333333
ZNF564,10.413,17.58
LINC02926,0.529933333,0.387466667
ZNF490,4.378,6.233666667
ZNF791,11.78666667,18.12
LOC105372279,1.4146,2.270666667
MAN2B1,49.86333333,111.9233333
WDR83,81.06666667,93.22333333
WDR83OS,96.72333333,111.9333333
DHPS,89.59333333,99.92
GNG14,1.898666667,1.615666667
FBXW9,41.16333333,51.05
TNPO2,117.5366667,144.2333333
SNORD135,15.19366667,16.18666667
SNORD41,2.845333333,0.509333333
TRIR,320.2666667,358.2333333
GET3,234.3666667,201.4666667
BEST2,0.107413333,0.12101
HOOK2,25.48666667,30.77666667
JUNB,156.81,141.4666667
PRDX2,487,795.4333333
RNASEH2A,162.2333333,76.80666667
RTBDN,1.041433333,0.660366667
LOC105372281,1.422666667,1.0475
MAST1,4.147,7.014333333
DNASE2,79.64666667,170.7
KLF1,0.5709,0.450133333
GCDH,40.11333333,45.15666667
SYCE2,8.956,4.617666667
MIR5695,1.062,0.398766667
FARSA,261.3333333,203.1333333
FARSA-AS1,135.7,114.4666667
CALR,1379.666667,1667
MIR6515,11.34,14.4
RAD23A,248.0333333,211.2666667
GADD45GIP1,199.7333333,172.8
DAND5,0.884733333,1.012866667
NFIX,37.60333333,47.67333333
LYL1,7.858666667,9.794333333
LOC105372282,21.31333333,20.26333333
TRMT1,104.2733333,95.20666667
NACC1,155.8666667,134.2333333
STX10,121.1,130
IER2,153.9666667,106.8333333
CACNA1A,1.656,4.329333333
